match_id,match_date,event_name,team_1,team_2,player_id,player_name,adr,dpr,kast,kpr,multi_kill,rating_3_0,rating_3_0_ct_rating,rating_3_0_t_rating,round_swing,firepower_combined_score,entrying_combined_score,trading_combined_score,opening_combined_score,clutching_combined_score,sniping_combined_score,utility_combined_score
2393226,2026-04-14,IEM Rio 2026,Spirit,Falcons,21167,donk,97.4,0.69,77.2,0.91,24.5,1.39,1.39,1.39,3.08,100.0,77.0,65.0,92.0,18.0,1.0,22.0
2393226,2026-04-14,IEM Rio 2026,Spirit,Falcons,20423,zont1x,65.6,0.62,74.5,0.59,13.3,0.95,0.98,0.92,-1.21,20.0,53.0,31.0,29.0,44.0,0.0,68.0
2393226,2026-04-14,IEM Rio 2026,Spirit,Falcons,19808,tn1r,70.2,0.64,74.0,0.62,15.2,0.98,0.97,0.98,-1.04,37.0,51.0,55.0,36.0,38.0,0.0,64.0
2393226,2026-04-14,IEM Rio 2026,Spirit,Falcons,19230,m0nesy,81.0,0.57,77.2,0.81,20.7,1.28,1.34,1.22,2.98,92.0,16.0,57.0,88.0,45.0,93.0,71.0
2393226,2026-04-14,IEM Rio 2026,Spirit,Falcons,3741,niko,75.4,0.61,74.8,0.69,15.7,1.11,1.11,1.11,0.75,59.0,59.0,65.0,39.0,43.0,0.0,71.0
2393226,2026-04-14,IEM Rio 2026,Spirit,Falcons,12018,teses,67.1,0.61,73.9,0.6,14.1,1.04,1.14,0.95,0.56,25.0,61.0,13.0,27.0,84.0,0.0,57.0
2393226,2026-04-14,IEM Rio 2026,Spirit,Falcons,24177,kyousuke,83.7,0.68,74.0,0.79,21.1,1.19,1.18,1.2,1.14,94.0,84.0,83.0,87.0,25.0,4.0,33.0
2393226,2026-04-14,IEM Rio 2026,Spirit,Falcons,19677,kyxsan,63.1,0.62,71.6,0.55,12.2,0.95,0.93,0.96,-0.63,10.0,80.0,31.0,41.0,53.0,0.0,83.0
2389647,2026-02-01,IEM Kraków 2026,Spirit,Natus Vincere,18987,b1t,74.9,0.62,74.3,0.71,17.6,1.12,1.09,1.15,0.44,69.0,20.0,72.0,30.0,40.0,2.0,46.0
2389647,2026-02-01,IEM Kraków 2026,Spirit,Natus Vincere,14759,im,79.6,0.69,72.7,0.72,17.1,1.07,1.05,1.09,0.03,76.0,64.0,48.0,84.0,29.0,0.0,40.0
2389647,2026-02-01,IEM Kraków 2026,Spirit,Natus Vincere,22673,makazze,77.0,0.69,73.7,0.66,15.8,1.09,1.16,1.01,0.94,57.0,83.0,21.0,86.0,35.0,0.0,63.0
2389647,2026-02-01,IEM Kraków 2026,Spirit,Natus Vincere,9816,aleksib,60.5,0.63,72.6,0.52,10.6,0.9,0.94,0.85,-1.47,5.0,90.0,50.0,17.0,51.0,0.0,78.0
2389647,2026-02-01,IEM Kraków 2026,Spirit,Natus Vincere,20127,w0nderful,71.9,0.57,75.0,0.74,18.4,1.15,0.99,1.31,1.69,70.0,22.0,73.0,40.0,73.0,92.0,56.0
2389647,2026-02-01,IEM Kraków 2026,Spirit,Natus Vincere,21167,donk,94.1,0.66,76.3,0.91,22.5,1.39,1.47,1.3,2.82,100.0,46.0,70.0,92.0,46.0,3.0,40.0
2389647,2026-02-01,IEM Kraków 2026,Spirit,Natus Vincere,16920,sh1ro,75.3,0.53,77.3,0.76,18.6,1.18,1.16,1.2,2.26,78.0,6.0,54.0,46.0,66.0,94.0,67.0
2389647,2026-02-01,IEM Kraków 2026,Spirit,Natus Vincere,18317,magixx,72.9,0.55,79.4,0.68,15.5,1.12,1.16,1.07,0.11,53.0,85.0,37.0,37.0,52.0,3.0,90.0
2389647,2026-02-01,IEM Kraków 2026,Spirit,Natus Vincere,20423,zont1x,70.4,0.61,79.8,0.6,12.6,0.98,1.01,0.95,-1.26,25.0,56.0,22.0,33.0,27.0,0.0,70.0
2389647,2026-02-01,IEM Kraków 2026,Spirit,Natus Vincere,19808,tn1r,69.3,0.63,72.6,0.62,15.5,1.01,0.95,1.07,-0.2,37.0,41.0,26.0,45.0,63.0,1.0,53.0
